Model,Train_Accuracy,Val_Accuracy,Train_Precision,Val_Precision,Train_Recall,Val_Recall,Train_F1,Val_F1,Train_ROC_AUC,Val_ROC_AUC
Logistic Regression (Baseline),0.8115727002967359,0.8780487804878049,0.7453271028037384,0.8804347826086957,0.9465875370919882,0.9529411764705882,0.8339869281045752,0.9152542372881356,0.8711268039693931,0.8866873065015479
Logistic Regression (Tuned),0.8100890207715133,0.8536585365853658,0.7380410022779044,0.8526315789473684,0.9614243323442137,0.9529411764705882,0.8350515463917526,0.9,0.8633517949440428,0.8609907120743034
Random Forest (Baseline),1.0,0.7886178861788617,1.0,0.8554216867469879,1.0,0.8352941176470589,1.0,0.8452380952380952,1.0,0.8272445820433438
Random Forest (Tuned),1.0,0.7886178861788617,1.0,0.8554216867469879,1.0,0.8352941176470589,1.0,0.8452380952380952,1.0,0.8408668730650155
XGBoost (Baseline),1.0,0.7723577235772358,1.0,0.8518518518518519,1.0,0.8117647058823529,1.0,0.8313253012048193,1.0,0.7854489164086687
XGBoost (Tuned),1.0,0.7967479674796748,1.0,0.8571428571428571,1.0,0.8470588235294118,1.0,0.8520710059171598,1.0,0.8179566563467492
